patch_size,family,operation,precision_variant,observations,exact_equal_count,divergent_count,mean_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,total_num_unequal,total_num_elements,exact_equal_rate,divergent_rate,global_unequal_element_rate
25.0,patch_reduction,patch_sum_d_25,fp32,18,0,18,0.672175,0.672175,3.814697265625e-06,3.814697265625e-06,0.052209443099273604,0.05357142857142857,483966,720000,0.0,1.0,0.672175
25.0,patch_reduction,patch_sum_fp64_mul_cd_25,fp64,18,0,18,2.5e-05,2.5e-05,2.220446049250313e-16,2.220446049250313e-16,2.754835814051686e-16,2.7548358140516863e-16,18,720000,0.0,1.0,2.5e-05
25.0,patch_reduction,patch_sum_mul_ab_25,fp32,18,0,18,0.6689,0.6689,3.814697265625e-06,3.814697265625e-06,0.0015044389436344422,0.0015055706112616681,481608,720000,0.0,1.0,0.6689
25.0,patch_reduction,patch_sum_mul_cd_25,fp32,18,0,18,0.6662,0.6662,4.76837158203125e-06,4.76837158203125e-06,0.0024600283220972876,0.0024630541871921183,479664,720000,0.0,1.0,0.6662
25.0,patch_reduction,patch_var_a_25,fp32,18,0,18,0.503225,0.503225,4.76837158203125e-07,4.76837158203125e-07,2.575089060528155e-07,2.5750893920823384e-07,362322,720000,0.0,1.0,0.503225
25.0,patch_reduction,patch_var_b_25,fp32,18,0,18,0.504725,0.504725,4.76837158203125e-07,4.76837158203125e-07,2.757138173290322e-07,2.757138553380868e-07,363402,720000,0.0,1.0,0.504725
25.0,patch_reduction,patch_var_c_25,fp32,18,0,18,0.5035,0.5035,4.76837158203125e-07,4.76837158203125e-07,2.679557242465903e-07,2.679557601467254e-07,362520,720000,0.0,1.0,0.5035
25.0,patch_reduction,patch_var_d_25,fp32,18,0,18,0.507575,0.507575,3.5762786865234375e-07,3.5762786865234375e-07,2.7640620794523263e-07,2.7640624614542853e-07,365454,720000,0.0,1.0,0.507575
25.0,patch_reduction,patch_var_mul_ab_25,fp32,18,0,18,0.518325,0.518325,9.5367431640625e-07,9.5367431640625e-07,3.291935958458491e-07,3.291936500300609e-07,373194,720000,0.0,1.0,0.518325
25.0,patch_reduction,patch_var_mul_cd_25,fp32,18,0,18,0.521125,0.521125,9.5367431640625e-07,9.5367431640625e-07,2.7842391460961817e-07,2.784239533695563e-07,375210,720000,0.0,1.0,0.521125
25.0,patch_softmax,patch_softmax_a_25,fp32,22,0,22,0.4343789090909091,0.50745,1.1108138344504616e-07,1.1920928955078125e-07,4.4105008998332775e-07,4.599947192606229e-07,9556336,22000000,0.0,1.0,0.4343789090909091
25.0,patch_softmax,patch_softmax_b_25,fp32,22,0,22,0.4371125454545455,0.509638,1.0295347733931108e-07,1.1920928955078125e-07,4.263964471303364e-07,4.522769259958488e-07,9616476,22000000,0.0,1.0,0.4371125454545455
25.0,patch_softmax,patch_softmax_c_25,fp32,22,0,22,0.4357992727272727,0.50879,1.1920928955078125e-07,1.1920928955078125e-07,4.0439435551036256e-07,4.5991189467833647e-07,9587584,22000000,0.0,1.0,0.4357992727272727
25.0,patch_softmax,patch_softmax_d_25,fp32,22,0,22,0.4364182727272727,0.509883,1.1108138344504616e-07,1.1920928955078125e-07,4.479564975037552e-07,4.6954870969188446e-07,9601202,22000000,0.0,1.0,0.43641827272727274
25.0,patch_softmax,patch_softmax_mul_ab_25,fp32,22,0,22,0.43215563636363635,0.505918,2.0590695467862216e-07,2.384185791015625e-07,4.3459434542746514e-07,4.7497561297087155e-07,9507424,22000000,0.0,1.0,0.43215563636363635
25.0,patch_softmax,patch_softmax_mul_cd_25,fp32,22,0,22,0.43220063636363637,0.505846,2.2216276689009232e-07,2.384185791015625e-07,4.1395561253876473e-07,4.355433324674732e-07,9508414,22000000,0.0,1.0,0.43220063636363637
